PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
25263745,The chicken gastrointestinal microbiome,"Oakley BB, Lillehoj HS, Kogut MH, Kim WK, Maurer JJ, Pedroso A, Lee MD, Collett SR, Johnson TJ, Cox NA.",FEMS Microbiol Lett. 2014 Nov;360(2):100-12. doi: 10.1111/1574-6968.12608. Epub 2014 Oct 13.,Oakley BB,FEMS Microbiol Lett,2014,2014/09/30,,,10.1111/1574-6968.12608
27884206,Large-scale benchmarking reveals false discoveries and count transformation sensitivity in 16S rRNA gene amplicon data analysis methods used in microbiome studies,"Thorsen J, Brejnrod A, Mortensen M, Rasmussen MA, Stokholm J, Al-Soud WA, Sørensen S, Bisgaard H, Waage J.",Microbiome. 2016 Nov 25;4(1):62. doi: 10.1186/s40168-016-0208-8.,Thorsen J,Microbiome,2016,2016/11/26,PMC5123278,,10.1186/s40168-016-0208-8
23943792,Sequencing the human microbiome in health and disease,"Cox MJ, Cookson WO, Moffatt MF.",Hum Mol Genet. 2013 Oct 15;22(R1):R88-94. doi: 10.1093/hmg/ddt398. Epub 2013 Aug 13.,Cox MJ,Hum Mol Genet,2013,2013/08/15,,,10.1093/hmg/ddt398
27059297,The human gut microbiome in health: establishment and resilience of microbiota over a lifetime,"Greenhalgh K, Meyer KM, Aagaard KM, Wilmes P.",Environ Microbiol. 2016 Jul;18(7):2103-16. doi: 10.1111/1462-2920.13318.,Greenhalgh K,Environ Microbiol,2016,2016/04/10,,,10.1111/1462-2920.13318
27346372,Multiple sclerosis patients have a distinct gut microbiota compared to healthy controls,"Chen J, Chia N, Kalari KR, Yao JZ, Novotna M, Paz Soldan MM, Luckey DH, Marietta EV, Jeraldo PR, Chen X, Weinshenker BG, Rodriguez M, Kantarci OH, Nelson H, Murray JA, Mangalam AK.",Sci Rep. 2016 Jun 27;6:28484. doi: 10.1038/srep28484.,Chen J,Sci Rep,2016,2016/06/28,PMC4921909,,10.1038/srep28484
26689946,The Tasmanian devil microbiome-implications for conservation and management,"Cheng Y, Fox S, Pemberton D, Hogg C, Papenfuss AT, Belov K.",Microbiome. 2015 Dec 21;3:76. doi: 10.1186/s40168-015-0143-0.,Cheng Y,Microbiome,2015,2015/12/23,PMC4687321,,10.1186/s40168-015-0143-0
25064120,Manipulation and assessment of gut microbiome for metabolic studies,"Satoor SN, Patil DP, Kristensen HD, Joglekar MV, Shouche Y, Hardikar AA.",Methods Mol Biol. 2014;1194:449-69. doi: 10.1007/978-1-4939-1215-5_26.,Satoor SN,Methods Mol Biol,2014,2014/07/28,,,10.1007/978-1-4939-1215-5_26
27357925,Oral microbiome diversity among Cheyenne and Arapaho individuals from Oklahoma,"Ozga AT, Sankaranarayanan K, Tito RY, Obregon-Tito AJ, Foster MW, Tallbull G, Spicer P, Warinner CG, Lewis CM Jr.",Am J Phys Anthropol. 2016 Oct;161(2):321-7. doi: 10.1002/ajpa.23033. Epub 2016 Jun 30.,Ozga AT,Am J Phys Anthropol,2016,2016/07/01,,,10.1002/ajpa.23033
27999002,Metformin Is Associated With Higher Relative Abundance of Mucin-Degrading Akkermansia muciniphila and Several Short-Chain Fatty Acid-Producing Microbiota in the Gut,"de la Cuesta-Zuluaga J, Mueller NT, Corrales-Agudelo V, Velásquez-Mejía EP, Carmona JA, Abad JM, Escobar JS.",Diabetes Care. 2017 Jan;40(1):54-62. doi: 10.2337/dc16-1324. Epub 2016 Nov 14.,de la Cuesta-Zuluaga J,Diabetes Care,2017,2016/12/22,,,10.2337/dc16-1324
27572178,Specialized Microbiome of a Halophyte and its Role in Helping Non-Host Plants to Withstand Salinity,"Yuan Z, Druzhinina IS, Labbé J, Redman R, Qin Y, Rodriguez R, Zhang C, Tuskan GA, Lin F.",Sci Rep. 2016 Aug 30;6:32467. doi: 10.1038/srep32467.,Yuan Z,Sci Rep,2016,2016/08/31,PMC5004162,,10.1038/srep32467
26452635,Overweight and the feline gut microbiome - a pilot study,"Kieler IN, Mølbak L, Hansen LL, Hermann-Bank ML, Bjornvad CR.",J Anim Physiol Anim Nutr (Berl). 2016 Jun;100(3):478-84. doi: 10.1111/jpn.12409. Epub 2015 Oct 9.,Kieler IN,J Anim Physiol Anim Nutr (Berl),2016,2015/10/11,,,10.1111/jpn.12409
27203275,Sex-Specific Effects of Organophosphate Diazinon on the Gut Microbiome and Its Metabolic Functions,"Gao B, Bian X, Mahbub R, Lu K.",Environ Health Perspect. 2017 Feb;125(2):198-206. doi: 10.1289/EHP202. Epub 2016 May 20.,Gao B,Environ Health Perspect,2017,2016/05/21,PMC5289904,,10.1289/EHP202
27855721,The lung microbiota in early rheumatoid arthritis and autoimmunity,"Scher JU, Joshua V, Artacho A, Abdollahi-Roodsaz S, Öckinger J, Kullberg S, Sköld M, Eklund A, Grunewald J, Clemente JC, Ubeda C, Segal LN, Catrina AI.",Microbiome. 2016 Nov 17;4(1):60. doi: 10.1186/s40168-016-0206-x.,Scher JU,Microbiome,2016,2016/11/19,PMC5114783,,10.1186/s40168-016-0206-x
25875428,Gut microbiome compositional and functional differences between tumor and non-tumor adjacent tissues from cohorts from the US and Spain,"Allali I, Delgado S, Marron PI, Astudillo A, Yeh JJ, Ghazal H, Amzazi S, Keku T, Azcarate-Peril MA.",Gut Microbes. 2015;6(3):161-72. doi: 10.1080/19490976.2015.1039223.,Allali I,Gut Microbes,2015,2015/04/16,PMC4615176,,10.1080/19490976.2015.1039223
27157862,"The effects of family, dentition, and dental caries on the salivary microbiome","Foxman B, Luo T, Srinivasan U, Ramadugu K, Wen A, Goldberg D, Shedden K, Crout R, McNeil DW, Weyant R, Marazita ML.",Ann Epidemiol. 2016 May;26(5):348-54. doi: 10.1016/j.annepidem.2016.03.006. Epub 2016 Apr 9.,Foxman B,Ann Epidemiol,2016,2016/05/10,PMC5015694,NIHMS776725,10.1016/j.annepidem.2016.03.006
26849217,Comparing Apples and Oranges?: Next Generation Sequencing and Its Impact on Microbiome Analysis,"Clooney AG, Fouhy F, Sleator RD, O' Driscoll A, Stanton C, Cotter PD, Claesson MJ.",PLoS One. 2016 Feb 5;11(2):e0148028. doi: 10.1371/journal.pone.0148028. eCollection 2016.,Clooney AG,PLoS One,2016,2016/02/06,PMC4746063,,10.1371/journal.pone.0148028
24803517,Microbiome data distinguish patients with Clostridium difficile infection and non-C. difficile-associated diarrhea from healthy controls,"Schubert AM, Rogers MA, Ring C, Mogle J, Petrosino JP, Young VB, Aronoff DM, Schloss PD.",mBio. 2014 May 6;5(3):e01021-14. doi: 10.1128/mBio.01021-14.,Schubert AM,mBio,2014,2014/05/08,PMC4010826,,10.1128/mBio.01021-14
24694284,mtDNA haplogroup and single nucleotide polymorphisms structure human microbiome communities,"Ma J, Coarfa C, Qin X, Bonnen PE, Milosavljevic A, Versalovic J, Aagaard K.",BMC Genomics. 2014 Apr 3;15:257. doi: 10.1186/1471-2164-15-257.,Ma J,BMC Genomics,2014,2014/04/04,PMC4234434,,10.1186/1471-2164-15-257
27213188,Characterization of the bacterial and fungal microbiome in indoor dust and outdoor air samples: a pilot study,"Hanson B, Zhou Y, Bautista EJ, Urch B, Speck M, Silverman F, Muilenberg M, Phipatanakul W, Weinstock G, Sodergren E, Gold DR, Sordillo JE.",Environ Sci Process Impacts. 2016 Jun 15;18(6):713-24. doi: 10.1039/c5em00639b. Epub 2016 May 23.,Hanson B,Environ Sci Process Impacts,2016,2016/05/24,PMC5015483,NIHMS789373,10.1039/c5em00639b
27450246,Water management impacts rice methylmercury and the soil microbiome,"Rothenberg SE, Anders M, Ajami NJ, Petrosino JF, Balogh E.",Sci Total Environ. 2016 Dec 1;572:608-617. doi: 10.1016/j.scitotenv.2016.07.017. Epub 2016 Jul 20.,Rothenberg SE,Sci Total Environ,2016,2016/07/25,PMC5099098,NIHMS804573,10.1016/j.scitotenv.2016.07.017
26323632,Analyses of Intestinal Microbiota: Culture versus Sequencing,"Hiergeist A, Gläsner J, Reischl U, Gessner A.",ILAR J. 2015;56(2):228-40. doi: 10.1093/ilar/ilv017.,Hiergeist A,ILAR J,2015,2015/09/02,,,10.1093/ilar/ilv017
24030594,Resistance and resilience of the forest soil microbiome to logging-associated compaction,"Hartmann M, Niklaus PA, Zimmermann S, Schmutz S, Kremer J, Abarenkov K, Lüscher P, Widmer F, Frey B.",ISME J. 2014 Jan;8(1):226-44. doi: 10.1038/ismej.2013.141. Epub 2013 Sep 12.,Hartmann M,ISME J,2014,2013/09/14,PMC3869018,,10.1038/ismej.2013.141
25523504,The feline oral microbiome: a provisional 16S rRNA gene based taxonomy with full-length reference sequences,"Dewhirst FE, Klein EA, Bennett ML, Croft JM, Harris SJ, Marshall-Jones ZV.",Vet Microbiol. 2015 Feb 25;175(2-4):294-303. doi: 10.1016/j.vetmic.2014.11.019. Epub 2014 Dec 2.,Dewhirst FE,Vet Microbiol,2015,2014/12/20,PMC4297541,NIHMS650364,10.1016/j.vetmic.2014.11.019
27268458,Sex-Specific Effects of Arsenic Exposure on the Trajectory and Function of the Gut Microbiome,"Chi L, Bian X, Gao B, Ru H, Tu P, Lu K.",Chem Res Toxicol. 2016 Jun 20;29(6):949-51. doi: 10.1021/acs.chemrestox.6b00066. Epub 2016 Jun 9.,Chi L,Chem Res Toxicol,2016,2016/06/09,PMC5079644,NIHMS822479,10.1021/acs.chemrestox.6b00066
26069274,"Stool consistency is strongly associated with gut microbiota richness and composition, enterotypes and bacterial growth rates","Vandeputte D, Falony G, Vieira-Silva S, Tito RY, Joossens M, Raes J.",Gut. 2016 Jan;65(1):57-62. doi: 10.1136/gutjnl-2015-309618. Epub 2015 Jun 11.,Vandeputte D,Gut,2016,2015/06/13,PMC4717365,,10.1136/gutjnl-2015-309618
26412568,Oral microbiome in chinese patients with aggressive periodontitis and their family members,"Li Y, Feng X, Xu L, Zhang L, Lu R, Shi D, Wang X, Chen F, Li J, Meng H.",J Clin Periodontol. 2015 Nov;42(11):1015-23. doi: 10.1111/jcpe.12463. Epub 2015 Nov 14.,Li Y,J Clin Periodontol,2015,2015/09/29,,,10.1111/jcpe.12463
27449871,The Vaginal Microbiome: Current Understanding and Future Directions,"Martin DH, Marrazzo JM.",J Infect Dis. 2016 Aug 15;214 Suppl 1(Suppl 1):S36-41. doi: 10.1093/infdis/jiw184.,Martin DH,J Infect Dis,2016,2016/07/25,PMC4957511,,10.1093/infdis/jiw184
27306690,"Diversity, structure and convergent evolution of the global sponge microbiome","Thomas T, Moitinho-Silva L, Lurgi M, Björk JR, Easson C, Astudillo-García C, Olson JB, Erwin PM, López-Legentil S, Luter H, Chaves-Fonnegra A, Costa R, Schupp PJ, Steindler L, Erpenbeck D, Gilbert J, Knight R, Ackermann G, Victor Lopez J, Taylor MW, Thacker RW, Montoya JM, Hentschel U, Webster NS.",Nat Commun. 2016 Jun 16;7:11870. doi: 10.1038/ncomms11870.,Thomas T,Nat Commun,2016,2016/06/17,PMC4912640,,10.1038/ncomms11870
23197411,Intestinal microbiota determines development of non-alcoholic fatty liver disease in mice,"Le Roy T, Llopis M, Lepage P, Bruneau A, Rabot S, Bevilacqua C, Martin P, Philippe C, Walker F, Bado A, Perlemuter G, Cassard-Doulcier AM, Gérard P.",Gut. 2013 Dec;62(12):1787-94. doi: 10.1136/gutjnl-2012-303816. Epub 2012 Nov 29.,Le Roy T,Gut,2013,2012/12/01,,,10.1136/gutjnl-2012-303816
26556275,Same Exposure but Two Radically Different Responses to Antibiotics: Resilience of the Salivary Microbiome versus Long-Term Microbial Shifts in Feces,"Zaura E, Brandt BW, Teixeira de Mattos MJ, Buijs MJ, Caspers MP, Rashid MU, Weintraub A, Nord CE, Savell A, Hu Y, Coates AR, Hubank M, Spratt DA, Wilson M, Keijser BJ, Crielaard W.",mBio. 2015 Nov 10;6(6):e01693-15. doi: 10.1128/mBio.01693-15.,Zaura E,mBio,2015,2015/11/12,PMC4659469,,10.1128/mBio.01693-15
27052158,Multicenter quality assessment of 16S ribosomal DNA-sequencing for microbiome analyses reveals high inter-center variability,"Hiergeist A, Reischl U; Priority Program 1656 Intestinal Microbiota Consortium/ quality assessment participants, Gessner A.",Int J Med Microbiol. 2016 Aug;306(5):334-342. doi: 10.1016/j.ijmm.2016.03.005. Epub 2016 Mar 21.,Hiergeist A,Int J Med Microbiol,2016,2016/04/08,,,10.1016/j.ijmm.2016.03.005
25564364,Molecular analysis of the caecal and tracheal microbiome of heat-stressed broilers supplemented with prebiotic and probiotic,"Sohail MU, Hume ME, Byrd JA, Nisbet DJ, Shabbir MZ, Ijaz A, Rehman H.",Avian Pathol. 2015;44(2):67-74. doi: 10.1080/03079457.2015.1004622.,Sohail MU,Avian Pathol,2015,2015/01/08,,,10.1080/03079457.2015.1004622
27381833,Spatial and temporal investigation of the microbiome of the Caribbean octocoral Erythropodium caribaeorum,"McCauley EP, Haltli B, Correa H, Kerr RG.",FEMS Microbiol Ecol. 2016 Sep;92(9):fiw147. doi: 10.1093/femsec/fiw147. Epub 2016 Jul 4.,McCauley EP,FEMS Microbiol Ecol,2016,2016/07/07,,,10.1093/femsec/fiw147
26751816,The Microbiome of Ehrlichia-Infected and Uninfected Lone Star Ticks (Amblyomma americanum),"Trout Fryxell RT, DeBruyn JM.",PLoS One. 2016 Jan 11;11(1):e0146651. doi: 10.1371/journal.pone.0146651. eCollection 2016.,Trout Fryxell RT,PLoS One,2016,2016/01/12,PMC4709196,,10.1371/journal.pone.0146651
23616309,Gut microbiota and obesity: lessons from the microbiome,Cani PD.,Brief Funct Genomics. 2013 Jul;12(4):381-7. doi: 10.1093/bfgp/elt014. Epub 2013 Apr 24.,Cani PD,Brief Funct Genomics,2013,2013/04/26,,,10.1093/bfgp/elt014
25658087,Extensive description and comparison of human supra-gingival microbiome in root caries and health,"Chen L, Qin B, Du M, Zhong H, Xu Q, Li Y, Zhang P, Fan M.",PLoS One. 2015 Feb 6;10(2):e0117064. doi: 10.1371/journal.pone.0117064. eCollection 2015.,Chen L,PLoS One,2015,2015/02/07,PMC4319720,,10.1371/journal.pone.0117064
27490741,Gestational diabetes is associated with changes in placental microbiota and microbiome,"Bassols J, Serino M, Carreras-Badosa G, Burcelin R, Blasco-Baque V, Lopez-Bermejo A, Fernandez-Real JM.",Pediatr Res. 2016 Dec;80(6):777-784. doi: 10.1038/pr.2016.155. Epub 2016 Aug 4.,Bassols J,Pediatr Res,2016,2016/08/05,,,10.1038/pr.2016.155
27102333,The influence of a short-term gluten-free diet on the human gut microbiome,"Bonder MJ, Tigchelaar EF, Cai X, Trynka G, Cenit MC, Hrdlickova B, Zhong H, Vatanen T, Gevers D, Wijmenga C, Wang Y, Zhernakova A.",Genome Med. 2016 Apr 21;8(1):45. doi: 10.1186/s13073-016-0295-y.,Bonder MJ,Genome Med,2016,2016/04/23,PMC4841035,,10.1186/s13073-016-0295-y
25769877,"[Characterization, influence and manipulation of the gastrointestinal microbiota in health and disease]","García-Mazcorro JF, Garza-González E, Marroquín-Cardona AG, Tamayo JL.",Gastroenterol Hepatol. 2015 Aug-Sep;38(7):445-66. doi: 10.1016/j.gastrohep.2015.01.004. Epub 2015 Mar 11.,García-Mazcorro JF,Gastroenterol Hepatol,2015,2015/03/15,,,10.1016/j.gastrohep.2015.01.004
27900260,Gut microbiota and glucometabolic alterations in response to recurrent partial sleep deprivation in normal-weight young individuals,"Benedict C, Vogel H, Jonas W, Woting A, Blaut M, Schürmann A, Cedernaes J.",Mol Metab. 2016 Oct 24;5(12):1175-1186. doi: 10.1016/j.molmet.2016.10.003. eCollection 2016 Dec.,Benedict C,Mol Metab,2016,2016/12/01,PMC5123208,,10.1016/j.molmet.2016.10.003
