PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31160269","The gut microbiome and epilepsy","Dahlin M, Prast-Nielsen S.","EBioMedicine. 2019 Jun;44:741-746. doi: 10.1016/j.ebiom.2019.05.024. Epub 2019 May 31.","Dahlin M","EBioMedicine","2019","2019/06/05","PMC6604367","","10.1016/j.ebiom.2019.05.024"
"30894042","Saccharibacteria (TM7) in the Human Oral Microbiome","Bor B, Bedree JK, Shi W, McLean JS, He X.","J Dent Res. 2019 May;98(5):500-509. doi: 10.1177/0022034519831671. Epub 2019 Mar 20.","Bor B","J Dent Res","2019","2019/03/22","PMC6481004","","10.1177/0022034519831671"
"31139578","The Healthy Human Blood Microbiome: Fact or Fiction?","Castillo DJ, Rifkin RF, Cowan DA, Potgieter M.","Front Cell Infect Microbiol. 2019 May 8;9:148. doi: 10.3389/fcimb.2019.00148. eCollection 2019.","Castillo DJ","Front Cell Infect Microbiol","2019","2019/05/30","PMC6519389","","10.3389/fcimb.2019.00148"
"30789747","Lung Microbiota Contribute to Pulmonary Inflammation and Disease Progression in Pulmonary Fibrosis","O'Dwyer DN, Ashley SL, Gurczynski SJ, Xia M, Wilke C, Falkowski NR, Norman KC, Arnold KB, Huffnagle GB, Salisbury ML, Han MK, Flaherty KR, White ES, Martinez FJ, Erb-Downward JR, Murray S, Moore BB, Dickson RP.","Am J Respir Crit Care Med. 2019 May 1;199(9):1127-1138. doi: 10.1164/rccm.201809-1650OC.","O'Dwyer DN","Am J Respir Crit Care Med","2019","2019/02/22","PMC6515865","","10.1164/rccm.201809-1650OC"
"31189482","The impact of skin care products on skin chemistry and microbiome dynamics","Bouslimani A, da Silva R, Kosciolek T, Janssen S, Callewaert C, Amir A, Dorrestein K, Melnik AV, Zaramela LS, Kim JN, Humphrey G, Schwartz T, Sanders K, Brennan C, Luzzatto-Knaan T, Ackermann G, McDonald D, Zengler K, Knight R, Dorrestein PC.","BMC Biol. 2019 Jun 12;17(1):47. doi: 10.1186/s12915-019-0660-6.","Bouslimani A","BMC Biol","2019","2019/06/14","PMC6560912","","10.1186/s12915-019-0660-6"
"31450270","A review of next generation sequencing technologies used in the evaluation of the skin microbiome: what a time to be alive","Sandhu SS, Pourang A, Sivamani RK.","Dermatol Online J. 2019 Jul 15;25(7):13030/qt3hv5z3q3.","Sandhu SS","Dermatol Online J","2019","2019/08/27","","",""
"30733306","The Microbiome in Lung Cancer Tissue and Recurrence-Free Survival","Peters BA, Hayes RB, Goparaju C, Reid C, Pass HI, Ahn J.","Cancer Epidemiol Biomarkers Prev. 2019 Apr;28(4):731-740. doi: 10.1158/1055-9965.EPI-18-0966. Epub 2019 Feb 7.","Peters BA","Cancer Epidemiol Biomarkers Prev","2019","2019/02/09","PMC6449216","NIHMS1520798","10.1158/1055-9965.EPI-18-0966"
"29344612","Association of Disease Severity With Skin Microbiome and Filaggrin Gene Mutations in Adult Atopic Dermatitis","Clausen ML, Agner T, Lilje B, Edslev SM, Johannesen TB, Andersen PS.","JAMA Dermatol. 2018 Mar 1;154(3):293-300. doi: 10.1001/jamadermatol.2017.5440.","Clausen ML","JAMA Dermatol","2018","2018/01/19","PMC5885821","","10.1001/jamadermatol.2017.5440"
"31595156","Dysbiosis of the Gut Microbiome is associated with Tumor Biomarkers in Lung Cancer","Liu F, Li J, Guan Y, Lou Y, Chen H, Xu M, Deng D, Chen J, Ni B, Zhao L, Li H, Sang H, Cai X.","Int J Biol Sci. 2019 Sep 7;15(11):2381-2392. doi: 10.7150/ijbs.35980. eCollection 2019.","Liu F","Int J Biol Sci","2019","2019/10/10","PMC6775324","","10.7150/ijbs.35980"
"30763537","Virome Diversity Correlates with Intestinal Microbiome Diversity in Adult Monozygotic Twins","Moreno-Gallego JL, Chou SP, Di Rienzi SC, Goodrich JK, Spector TD, Bell JT, Youngblut ND, Hewson I, Reyes A, Ley RE.","Cell Host Microbe. 2019 Feb 13;25(2):261-272.e5. doi: 10.1016/j.chom.2019.01.019.","Moreno-Gallego JL","Cell Host Microbe","2019","2019/02/15","PMC6411085","NIHMS1520971","10.1016/j.chom.2019.01.019"
"31164469","Correlation between Disease Severity and the Intestinal Microbiome in Mycobacterium tuberculosis-Infected Rhesus Macaques","Namasivayam S, Kauffman KD, McCulloch JA, Yuan W, Thovarai V, Mittereder LR, Trinchieri G, Barber DL, Sher A.","mBio. 2019 Jun 4;10(3):e01018-19. doi: 10.1128/mBio.01018-19.","Namasivayam S","mBio","2019","2019/06/06","PMC6550528","","10.1128/mBio.01018-19"
"30546361","Traumatic Brain Injury in Mice Induces Acute Bacterial Dysbiosis Within the Fecal Microbiome","Treangen TJ, Wagner J, Burns MP, Villapol S.","Front Immunol. 2018 Nov 27;9:2757. doi: 10.3389/fimmu.2018.02757. eCollection 2018.","Treangen TJ","Front Immunol","2018","2018/12/15","PMC6278748","","10.3389/fimmu.2018.02757"
"29750437","Green Tea Liquid Consumption Alters the Human Intestinal and Oral Microbiome","Yuan X, Long Y, Ji Z, Gao J, Fu T, Yan M, Zhang L, Su H, Zhang W, Wen X, Pu Z, Chen H, Wang Y, Gu X, Yan B, Kaliannan K, Shao Z.","Mol Nutr Food Res. 2018 Jun;62(12):e1800178. doi: 10.1002/mnfr.201800178. Epub 2018 Jun 10.","Yuan X","Mol Nutr Food Res","2018","2018/05/12","PMC6033105","","10.1002/mnfr.201800178"
"30718869","A human gut bacterial genome and culture collection for improved metagenomic analyses","Forster SC, Kumar N, Anonye BO, Almeida A, Viciani E, Stares MD, Dunn M, Mkandawire TT, Zhu A, Shao Y, Pike LJ, Louie T, Browne HP, Mitchell AL, Neville BA, Finn RD, Lawley TD.","Nat Biotechnol. 2019 Feb;37(2):186-192. doi: 10.1038/s41587-018-0009-7. Epub 2019 Feb 4.","Forster SC","Nat Biotechnol","2019","2019/02/06","PMC6785715","","10.1038/s41587-018-0009-7"
"29910467","Gut microbiota modulate neurobehavior through changes in brain insulin sensitivity and metabolism","Soto M, Herzog C, Pacheco JA, Fujisaka S, Bullock K, Clish CB, Kahn CR.","Mol Psychiatry. 2018 Dec;23(12):2287-2301. doi: 10.1038/s41380-018-0086-5. Epub 2018 Jun 18.","Soto M","Mol Psychiatry","2018","2018/06/19","PMC6294739","","10.1038/s41380-018-0086-5"
"31266865","New Insights into the Intrinsic and Extrinsic Factors That Shape the Human Skin Microbiome","Dimitriu PA, Iker B, Malik K, Leung H, Mohn WW, Hillebrand GG.","mBio. 2019 Jul 2;10(4):e00839-19. doi: 10.1128/mBio.00839-19.","Dimitriu PA","mBio","2019","2019/07/04","PMC6606800","","10.1128/mBio.00839-19"
"30562162","Association of gut microbiota composition and function with a senescence-accelerated mouse model of Alzheimer's Disease using 16S rRNA gene and metagenomic sequencing analysis","Peng W, Yi P, Yang J, Xu P, Wang Y, Zhang Z, Huang S, Wang Z, Zhang C.","Aging (Albany NY). 2018 Dec 18;10(12):4054-4065. doi: 10.18632/aging.101693.","Peng W","Aging (Albany NY)","2018","2018/12/19","PMC6326683","","10.18632/aging.101693"
"30352611","Species-level bacterial community profiling of the healthy sinonasal microbiome using Pacific Biosciences sequencing of full-length 16S rRNA genes","Earl JP, Adappa ND, Krol J, Bhat AS, Balashov S, Ehrlich RL, Palmer JN, Workman AD, Blasetti M, Sen B, Hammond J, Cohen NA, Ehrlich GD, Mell JC.","Microbiome. 2018 Oct 23;6(1):190. doi: 10.1186/s40168-018-0569-2.","Earl JP","Microbiome","2018","2018/10/25","PMC6199724","","10.1186/s40168-018-0569-2"
"31245306","Alterations to the Gut Microbiota and Their Correlation With Inflammatory Factors in Chronic Kidney Disease","Li F, Wang M, Wang J, Li R, Zhang Y.","Front Cell Infect Microbiol. 2019 Jun 12;9:206. doi: 10.3389/fcimb.2019.00206. eCollection 2019.","Li F","Front Cell Infect Microbiol","2019","2019/06/28","PMC6581668","","10.3389/fcimb.2019.00206"
"29969291","Severe Obstructive Sleep Apnea Is Associated with Alterations in the Nasal Microbiome and an Increase in Inflammation","Wu BG, Sulaiman I, Wang J, Shen N, Clemente JC, Li Y, Laumbach RJ, Lu SE, Udasin I, Le-Hoang O, Perez A, Alimokhtari S, Black K, Plietz M, Twumasi A, Sanders H, Malecha P, Kapoor B, Scaglione BD, Wang A, Blazoski C, Weiden MD, Rapoport DM, Harrison D, Chitkara N, Vicente E, Marin JM, Sunderram J, Ayappa I, Segal LN.","Am J Respir Crit Care Med. 2019 Jan 1;199(1):99-109. doi: 10.1164/rccm.201801-0119OC.","Wu BG","Am J Respir Crit Care Med","2019","2018/07/04","PMC6353011","","10.1164/rccm.201801-0119OC"
"31536536","Upper versus lower airway microbiome and metagenome in children with cystic fibrosis and their correlation with lung inflammation","Kirst ME, Baker D, Li E, Abu-Hasan M, Wang GP.","PLoS One. 2019 Sep 19;14(9):e0222323. doi: 10.1371/journal.pone.0222323. eCollection 2019.","Kirst ME","PLoS One","2019","2019/09/20","PMC6752789","","10.1371/journal.pone.0222323"
"29773078","Optimizing taxonomic classification of marker-gene amplicon sequences with QIIME 2's q2-feature-classifier plugin","Bokulich NA, Kaehler BD, Rideout JR, Dillon M, Bolyen E, Knight R, Huttley GA, Gregory Caporaso J.","Microbiome. 2018 May 17;6(1):90. doi: 10.1186/s40168-018-0470-z.","Bokulich NA","Microbiome","2018","2018/05/19","PMC5956843","","10.1186/s40168-018-0470-z"
"30895172","Altered Gut Microbiota in Chinese Children With Autism Spectrum Disorders","Ma B, Liang J, Dai M, Wang J, Luo J, Zhang Z, Jing J.","Front Cell Infect Microbiol. 2019 Mar 6;9:40. doi: 10.3389/fcimb.2019.00040. eCollection 2019.","Ma B","Front Cell Infect Microbiol","2019","2019/03/22","PMC6414714","","10.3389/fcimb.2019.00040"
"30439937","Gut microbiome transition across a lifestyle gradient in Himalaya","Jha AR, Davenport ER, Gautam Y, Bhandari D, Tandukar S, Ng KM, Fragiadakis GK, Holmes S, Gautam GP, Leach J, Sherchand JB, Bustamante CD, Sonnenburg JL.","PLoS Biol. 2018 Nov 15;16(11):e2005396. doi: 10.1371/journal.pbio.2005396. eCollection 2018 Nov.","Jha AR","PLoS Biol","2018","2018/11/16","PMC6237292","","10.1371/journal.pbio.2005396"
"30242285","Commensal microbiota induces colonic barrier structure and functions that contribute to homeostasis","Hayes CL, Dong J, Galipeau HJ, Jury J, McCarville J, Huang X, Wang XY, Naidoo A, Anbazhagan AN, Libertucci J, Sheridan C, Dudeja PK, Bowdish DME, Surette MG, Verdu EF.","Sci Rep. 2018 Sep 21;8(1):14184. doi: 10.1038/s41598-018-32366-6.","Hayes CL","Sci Rep","2018","2018/09/23","PMC6155058","","10.1038/s41598-018-32366-6"
"30643213","Metagenomic engineering of the mammalian gut microbiome in situ","Ronda C, Chen SP, Cabral V, Yaung SJ, Wang HH.","Nat Methods. 2019 Feb;16(2):167-170. doi: 10.1038/s41592-018-0301-y. Epub 2019 Jan 14.","Ronda C","Nat Methods","2019","2019/01/16","PMC6467691","NIHMS1516599","10.1038/s41592-018-0301-y"
"31272480","The human gallbladder microbiome is related to the physiological state and the biliary metabolic profile","Molinero N, Ruiz L, Milani C, Gutiérrez-Díaz I, Sánchez B, Mangifesta M, Segura J, Cambero I, Campelo AB, García-Bernardo CM, Cabrera A, Rodríguez JI, González S, Rodríguez JM, Ventura M, Delgado S, Margolles A.","Microbiome. 2019 Jul 4;7(1):100. doi: 10.1186/s40168-019-0712-8.","Molinero N","Microbiome","2019","2019/07/06","PMC6610825","","10.1186/s40168-019-0712-8"
"31703107","Comparison of the fecal, cecal, and mucus microbiome in male and female mice after TNBS-induced colitis","Kozik AJ, Nakatsu CH, Chun H, Jones-Hall YL.","PLoS One. 2019 Nov 8;14(11):e0225079. doi: 10.1371/journal.pone.0225079. eCollection 2019.","Kozik AJ","PLoS One","2019","2019/11/09","PMC6839838","","10.1371/journal.pone.0225079"
"31905907","Salivary Microbiome and Cigarette Smoking: A First of Its Kind Investigation in Jordan","Al-Zyoud W, Hajjo R, Abu-Siniyeh A, Hajjaj S.","Int J Environ Res Public Health. 2019 Dec 30;17(1):256. doi: 10.3390/ijerph17010256.","Al-Zyoud W","Int J Environ Res Public Health","2019","2020/01/08","PMC6982339","","10.3390/ijerph17010256"
"31597568","Relating the gut metagenome and metatranscriptome to immunotherapy responses in melanoma patients","Peters BA, Wilson M, Moran U, Pavlick A, Izsak A, Wechter T, Weber JS, Osman I, Ahn J.","Genome Med. 2019 Oct 9;11(1):61. doi: 10.1186/s13073-019-0672-4.","Peters BA","Genome Med","2019","2019/10/11","PMC6785875","","10.1186/s13073-019-0672-4"
"31316785","Fecal microbiota transplant for Crohn disease: A study evaluating safety, efficacy, and microbiome profile","Gutin L, Piceno Y, Fadrosh D, Lynch K, Zydek M, Kassam Z, LaMere B, Terdiman J, Ma A, Somsouk M, Lynch S, El-Nachef N.","United European Gastroenterol J. 2019 Jul;7(6):807-814. doi: 10.1177/2050640619845986. Epub 2019 Apr 20.","Gutin L","United European Gastroenterol J","2019","2019/07/19","PMC6620877","","10.1177/2050640619845986"
"31362781","Longitudinal investigation of the swine gut microbiome from birth to market reveals stage and growth performance associated bacteria","Wang X, Tsai T, Deng F, Wei X, Chai J, Knapp J, Apple J, Maxwell CV, Lee JA, Li Y, Zhao J.","Microbiome. 2019 Jul 30;7(1):109. doi: 10.1186/s40168-019-0721-7.","Wang X","Microbiome","2019","2019/08/01","PMC6664762","","10.1186/s40168-019-0721-7"
"29193830","Effects of cosmetics on the skin microbiome of facial cheeks with different hydration levels","Lee HJ, Jeong SE, Lee S, Kim S, Han H, Jeon CO.","Microbiologyopen. 2018 Apr;7(2):e00557. doi: 10.1002/mbo3.557. Epub 2017 Nov 29.","Lee HJ","Microbiologyopen","2018","2017/12/02","PMC5911989","","10.1002/mbo3.557"
"29921326","Absolute quantitation of microbiota abundance in environmental samples","Tkacz A, Hortala M, Poole PS.","Microbiome. 2018 Jun 19;6(1):110. doi: 10.1186/s40168-018-0491-7.","Tkacz A","Microbiome","2018","2018/06/21","PMC6009823","","10.1186/s40168-018-0491-7"
"30171064","Population-level analysis of Blastocystis subtype prevalence and variation in the human gut microbiota","Tito RY, Chaffron S, Caenepeel C, Lima-Mendez G, Wang J, Vieira-Silva S, Falony G, Hildebrand F, Darzi Y, Rymenans L, Verspecht C, Bork P, Vermeire S, Joossens M, Raes J.","Gut. 2019 Jul;68(7):1180-1189. doi: 10.1136/gutjnl-2018-316106. Epub 2018 Aug 31.","Tito RY","Gut","2019","2018/09/02","PMC6582744","","10.1136/gutjnl-2018-316106"
"29518419","The nasal microbiome in asthma","Fazlollahi M, Lee TD, Andrade J, Oguntuyo K, Chun Y, Grishina G, Grishin A, Bunyavanich S.","J Allergy Clin Immunol. 2018 Sep;142(3):834-843.e2. doi: 10.1016/j.jaci.2018.02.020. Epub 2018 Mar 5.","Fazlollahi M","J Allergy Clin Immunol","2018","2018/03/09","PMC6123291","NIHMS948829","10.1016/j.jaci.2018.02.020"
"31615957","Antibiotics and Host-Tailored Probiotics Similarly Modulate Effects on the Developing Avian Microbiome, Mycobiome, and Host Gene Expression","Ward TL, Weber BP, Mendoza KM, Danzeisen JL, Llop K, Lang K, Clayton JB, Grace E, Brannon J, Radovic I, Beauclaire M, Heisel TJ, Knights D, Cardona C, Kogut M, Johnson C, Noll SL, Arsenault R, Reed KM, Johnson TJ.","mBio. 2019 Oct 15;10(5):e02171-19. doi: 10.1128/mBio.02171-19.","Ward TL","mBio","2019","2019/10/17","PMC6794479","","10.1128/mBio.02171-19"
"30944304","Perinatal factors affect the gut microbiota up to four years after birth","Fouhy F, Watkins C, Hill CJ, O'Shea CA, Nagle B, Dempsey EM, O'Toole PW, Ross RP, Ryan CA, Stanton C.","Nat Commun. 2019 Apr 3;10(1):1517. doi: 10.1038/s41467-019-09252-4.","Fouhy F","Nat Commun","2019","2019/04/05","PMC6447568","","10.1038/s41467-019-09252-4"
"29533677","The Lung Microbiota of Healthy Mice Are Highly Variable, Cluster by Environment, and Reflect Variation in Baseline Lung Innate Immunity","Dickson RP, Erb-Downward JR, Falkowski NR, Hunter EM, Ashley SL, Huffnagle GB.","Am J Respir Crit Care Med. 2018 Aug 15;198(4):497-508. doi: 10.1164/rccm.201711-2180OC.","Dickson RP","Am J Respir Crit Care Med","2018","2018/03/14","PMC6118022","","10.1164/rccm.201711-2180OC"
"30231060","Subgingival microbiome of rheumatoid arthritis patients in relation to their disease status and periodontal health","Beyer K, Zaura E, Brandt BW, Buijs MJ, Brun JG, Crielaard W, Bolstad AI.","PLoS One. 2018 Sep 19;13(9):e0202278. doi: 10.1371/journal.pone.0202278. eCollection 2018.","Beyer K","PLoS One","2018","2018/09/20","PMC6145512","","10.1371/journal.pone.0202278"
"30459400","Variations in oral microbiome profiles in rheumatoid arthritis and osteoarthritis with potential biomarkers for arthritis screening","Chen B, Zhao Y, Li S, Yang L, Wang H, Wang T, Bin Shi, Gai Z, Heng X, Zhang C, Yang J, Zhang L.","Sci Rep. 2018 Nov 20;8(1):17126. doi: 10.1038/s41598-018-35473-6.","Chen B","Sci Rep","2018","2018/11/22","PMC6244360","","10.1038/s41598-018-35473-6"
"30460369","Changes in Lesional and Non-lesional Skin Microbiome During Treatment of Atopic Dermatitis","Kwon S, Choi JY, Shin JW, Huh CH, Park KC, Du MH, Yoon S, Na JI.","Acta Derm Venereol. 2019 Mar 1;99(3):284-290. doi: 10.2340/00015555-3089.","Kwon S","Acta Derm Venereol","2019","2018/11/22","","","10.2340/00015555-3089"
"30111822","Changes in the gut microbiota composition during pregnancy in patients with gestational diabetes mellitus (GDM)","Ferrocino I, Ponzo V, Gambino R, Zarovska A, Leone F, Monzeglio C, Goitre I, Rosato R, Romano A, Grassi G, Broglio F, Cassader M, Cocolin L, Bo S.","Sci Rep. 2018 Aug 15;8(1):12216. doi: 10.1038/s41598-018-30735-9.","Ferrocino I","Sci Rep","2018","2018/08/17","PMC6093919","","10.1038/s41598-018-30735-9"
"29293629","Influence of a diet enriched with virgin olive oil or butter on mouse gut microbiota and its correlation to physiological and biochemical parameters related to metabolic syndrome","Prieto I, Hidalgo M, Segarra AB, Martínez-Rodríguez AM, Cobo A, Ramírez M, Abriouel H, Gálvez A, Martínez-Cañamero M.","PLoS One. 2018 Jan 2;13(1):e0190368. doi: 10.1371/journal.pone.0190368. eCollection 2018.","Prieto I","PLoS One","2018","2018/01/03","PMC5749780","","10.1371/journal.pone.0190368"
"30897381","The intestinal microbiota associated with cardiac valve calcification differs from that of coronary artery disease","Liu Z, Li J, Liu H, Tang Y, Zhan Q, Lai W, Ao L, Meng X, Ren H, Xu D, Zeng Q.","Atherosclerosis. 2019 May;284:121-128. doi: 10.1016/j.atherosclerosis.2018.11.038. Epub 2018 Dec 4.","Liu Z","Atherosclerosis","2019","2019/03/22","","","10.1016/j.atherosclerosis.2018.11.038"
"28479329","Inflammatory phenotypes in patients with severe asthma are associated with distinct airway microbiology","Taylor SL, Leong LEX, Choo JM, Wesselingh S, Yang IA, Upham JW, Reynolds PN, Hodge S, James AL, Jenkins C, Peters MJ, Baraket M, Marks GB, Gibson PG, Simpson JL, Rogers GB.","J Allergy Clin Immunol. 2018 Jan;141(1):94-103.e15. doi: 10.1016/j.jaci.2017.03.044. Epub 2017 May 4.","Taylor SL","J Allergy Clin Immunol","2018","2017/05/09","","","10.1016/j.jaci.2017.03.044"
"30255621","Titanium as a modifier of the peri-implant microbiome structure","Daubert D, Pozhitkov A, McLean J, Kotsakis G.","Clin Implant Dent Relat Res. 2018 Dec;20(6):945-953. doi: 10.1111/cid.12676. Epub 2018 Sep 25.","Daubert D","Clin Implant Dent Relat Res","2018","2018/09/27","PMC6283679","NIHMS995129","10.1111/cid.12676"
"30074988","Combined bacterial and fungal intestinal microbiota analyses: Impact of storage conditions and DNA extraction protocols","Angebault C, Ghozlane A, Volant S, Botterel F, d'Enfert C, Bougnoux ME.","PLoS One. 2018 Aug 3;13(8):e0201174. doi: 10.1371/journal.pone.0201174. eCollection 2018.","Angebault C","PLoS One","2018","2018/08/04","PMC6075747","","10.1371/journal.pone.0201174"
"31063198","Strong Multivariate Relations Exist Among Milk, Oral, and Fecal Microbiomes in Mother-Infant Dyads During the First Six Months Postpartum","Williams JE, Carrothers JM, Lackey KA, Beatty NF, Brooker SL, Peterson HK, Steinkamp KM, York MA, Shafii B, Price WJ, McGuire MA, McGuire MK.","J Nutr. 2019 Jun 1;149(6):902-914. doi: 10.1093/jn/nxy299.","Williams JE","J Nutr","2019","2019/05/08","PMC6543206","","10.1093/jn/nxy299"
"29364944","Associations between sexual habits, menstrual hygiene practices, demographics and the vaginal microbiome as revealed by Bayesian network analysis","Noyes N, Cho KC, Ravel J, Forney LJ, Abdo Z.","PLoS One. 2018 Jan 24;13(1):e0191625. doi: 10.1371/journal.pone.0191625. eCollection 2018.","Noyes N","PLoS One","2018","2018/01/25","PMC5783405","","10.1371/journal.pone.0191625"
"30204780","Chronic fatigue syndrome patients have alterations in their oral microbiome composition and function","Wang T, Yu L, Xu C, Pan K, Mo M, Duan M, Zhang Y, Xiong H.","PLoS One. 2018 Sep 11;13(9):e0203503. doi: 10.1371/journal.pone.0203503. eCollection 2018.","Wang T","PLoS One","2018","2018/09/12","PMC6133361","","10.1371/journal.pone.0203503"
"29641531","Comparison of the oral microbiome in mouthwash and whole saliva samples","Fan X, Peters BA, Min D, Ahn J, Hayes RB.","PLoS One. 2018 Apr 11;13(4):e0194729. doi: 10.1371/journal.pone.0194729. eCollection 2018.","Fan X","PLoS One","2018","2018/04/12","PMC5894969","","10.1371/journal.pone.0194729"
"30666957","Gut microbiota density influences host physiology and is shaped by host and microbial factors","Contijoch EJ, Britton GJ, Yang C, Mogno I, Li Z, Ng R, Llewellyn SR, Hira S, Johnson C, Rabinowitz KM, Barkan R, Dotan I, Hirten RP, Fu SC, Luo Y, Yang N, Luong T, Labrias PR, Lira S, Peter I, Grinspan A, Clemente JC, Kosoy R, Kim-Schulze S, Qin X, Castillo A, Hurley A, Atreja A, Rogers J, Fasihuddin F, Saliaj M, Nolan A, Reyes-Mercedes P, Rodriguez C, Aly S, Santa-Cruz K, Peters L, Suárez-Fariñas M, Huang R, Hao K, Zhu J, Zhang B, Losic B, Irizar H, Song WM, Di Narzo A, Wang W, Cohen BL, DiMaio C, Greenwald D, Itzkowitz S, Lucas A, Marion J, Maser E, Ungaro R, Naymagon S, Novak J, Shah B, Ullman T, Rubin P, George J, Legnani P, Telesco SE, Friedman JR, Brodmerkel C, Plevy S, Cho JH, Colombel JF, Schadt EE, Argmann C, Dubinsky M, Kasarskis A, Sands B, Faith JJ.","Elife. 2019 Jan 22;8:e40553. doi: 10.7554/eLife.40553.","Contijoch EJ","Elife","2019","2019/01/23","PMC6342524","","10.7554/eLife.40553"
"31554820","A fiber-deprived diet disturbs the fine-scale spatial architecture of the murine colon microbiome","Riva A, Kuzyk O, Forsberg E, Siuzdak G, Pfann C, Herbold C, Daims H, Loy A, Warth B, Berry D.","Nat Commun. 2019 Sep 25;10(1):4366. doi: 10.1038/s41467-019-12413-0.","Riva A","Nat Commun","2019","2019/09/27","PMC6761162","","10.1038/s41467-019-12413-0"
