PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"30171064","Population-level analysis of Blastocystis subtype prevalence and variation in the human gut microbiota","Tito RY, Chaffron S, Caenepeel C, Lima-Mendez G, Wang J, Vieira-Silva S, Falony G, Hildebrand F, Darzi Y, Rymenans L, Verspecht C, Bork P, Vermeire S, Joossens M, Raes J.","Gut. 2019 Jul;68(7):1180-1189. doi: 10.1136/gutjnl-2018-316106. Epub 2018 Aug 31.","Tito RY","Gut","2019","2018/09/02","PMC6582744","","10.1136/gutjnl-2018-316106"
"27213188","Characterization of the bacterial and fungal microbiome in indoor dust and outdoor air samples: a pilot study","Hanson B, Zhou Y, Bautista EJ, Urch B, Speck M, Silverman F, Muilenberg M, Phipatanakul W, Weinstock G, Sodergren E, Gold DR, Sordillo JE.","Environ Sci Process Impacts. 2016 Jun 15;18(6):713-24. doi: 10.1039/c5em00639b. Epub 2016 May 23.","Hanson B","Environ Sci Process Impacts","2016","2016/05/24","PMC5015483","NIHMS789373","10.1039/c5em00639b"
"31159860","Ruminal microbiome-host crosstalk stimulates the development of the ruminal epithelium in a lamb model","Lin L, Xie F, Sun D, Liu J, Zhu W, Mao S.","Microbiome. 2019 Jun 3;7(1):83. doi: 10.1186/s40168-019-0701-y.","Lin L","Microbiome","2019","2019/06/05","PMC6547527","","10.1186/s40168-019-0701-y"
"28335814","Symbiosis and microbiome flexibility in calcifying benthic foraminifera of the Great Barrier Reef","Prazeres M, Ainsworth T, Roberts TE, Pandolfi JM, Leggat W.","Microbiome. 2017 Mar 23;5(1):38. doi: 10.1186/s40168-017-0257-7.","Prazeres M","Microbiome","2017","2017/03/25","PMC5364595","","10.1186/s40168-017-0257-7"
"29241587","Associations between infant fungal and bacterial dysbiosis and childhood atopic wheeze in a nonindustrialized setting","Arrieta MC, Arévalo A, Stiemsma L, Dimitriu P, Chico ME, Loor S, Vaca M, Boutin RCT, Morien E, Jin M, Turvey SE, Walter J, Parfrey LW, Cooper PJ, Finlay B.","J Allergy Clin Immunol. 2018 Aug;142(2):424-434.e10. doi: 10.1016/j.jaci.2017.08.041. Epub 2017 Dec 11.","Arrieta MC","J Allergy Clin Immunol","2018","2017/12/16","PMC6075469","","10.1016/j.jaci.2017.08.041"
"28623321","Dysbiosis in chronic periodontitis: Key microbial players and interactions with the human host","Deng ZL, Szafrański SP, Jarek M, Bhuju S, Wagner-Döbler I.","Sci Rep. 2017 Jun 16;7(1):3703. doi: 10.1038/s41598-017-03804-8.","Deng ZL","Sci Rep","2017","2017/06/18","PMC5473847","","10.1038/s41598-017-03804-8"
"29921326","Absolute quantitation of microbiota abundance in environmental samples","Tkacz A, Hortala M, Poole PS.","Microbiome. 2018 Jun 19;6(1):110. doi: 10.1186/s40168-018-0491-7.","Tkacz A","Microbiome","2018","2018/06/21","PMC6009823","","10.1186/s40168-018-0491-7"
"29050374","Taxonomic structure and functional association of foxtail millet root microbiome","Jin T, Wang Y, Huang Y, Xu J, Zhang P, Wang N, Liu X, Chu H, Liu G, Jiang H, Li Y, Xu J, Kristiansen K, Xiao L, Zhang Y, Zhang G, Du G, Zhang H, Zou H, Zhang H, Jie Z, Liang S, Jia H, Wan J, Lin D, Li J, Fan G, Yang H, Wang J, Bai Y, Xu X.","Gigascience. 2017 Oct 1;6(10):1-12. doi: 10.1093/gigascience/gix089.","Jin T","Gigascience","2017","2017/10/21","PMC7059795","","10.1093/gigascience/gix089"
"28512451","Colonization and Succession within the Human Gut Microbiome by Archaea, Bacteria, and Microeukaryotes during the First Year of Life","Wampach L, Heintz-Buschart A, Hogan A, Muller EEL, Narayanasamy S, Laczny CC, Hugerth LW, Bindl L, Bottu J, Andersson AF, de Beaufort C, Wilmes P.","Front Microbiol. 2017 May 2;8:738. doi: 10.3389/fmicb.2017.00738. eCollection 2017.","Wampach L","Front Microbiol","2017","2017/05/18","PMC5411419","","10.3389/fmicb.2017.00738"
"30824446","Mycobiome Profiles in Breast Milk from Healthy Women Depend on Mode of Delivery, Geographic Location, and Interaction with Bacteria","Boix-Amorós A, Puente-Sánchez F, du Toit E, Linderborg KM, Zhang Y, Yang B, Salminen S, Isolauri E, Tamames J, Mira A, Collado MC.","Appl Environ Microbiol. 2019 Apr 18;85(9):e02994-18. doi: 10.1128/AEM.02994-18. Print 2019 May 1.","Boix-Amorós A","Appl Environ Microbiol","2019","2019/03/03","PMC6495746","","10.1128/AEM.02994-18"
"29274973","Short communication: Signs of host genetic regulation in the microbiome composition in 2 dairy breeds: Holstein and Brown Swiss","Gonzalez-Recio O, Zubiria I, García-Rodríguez A, Hurtado A, Atxaerandio R.","J Dairy Sci. 2018 Mar;101(3):2285-2292. doi: 10.3168/jds.2017-13179. Epub 2017 Dec 21.","Gonzalez-Recio O","J Dairy Sci","2018","2017/12/25","","","10.3168/jds.2017-13179"
"31498487","A European ECMM-ESCMID survey on goals and practices for mycobiota characterisation using next-generation sequencing","Gangneux JP, Guegan H, Vandenborght LE, Buffet-Bataillon S, Enaud R, Delhaes L.","Mycoses. 2019 Dec;62(12):1096-1099. doi: 10.1111/myc.12999. Epub 2019 Oct 21.","Gangneux JP","Mycoses","2019","2019/09/10","","","10.1111/myc.12999"
"31349542","An Omics Approach to Diagnosing or Investigating Fungal Keratitis","Kuo MT, Chen JL, Hsu SL, Chen A, You HL.","Int J Mol Sci. 2019 Jul 25;20(15):3631. doi: 10.3390/ijms20153631.","Kuo MT","Int J Mol Sci","2019","2019/07/28","PMC6695605","","10.3390/ijms20153631"
"31128471","The cooling tower water microbiota: Seasonal dynamics and co-occurrence of bacterial and protist phylotypes","Tsao HF, Scheikl U, Herbold C, Indra A, Walochnik J, Horn M.","Water Res. 2019 Aug 1;159:464-479. doi: 10.1016/j.watres.2019.04.028. Epub 2019 Apr 22.","Tsao HF","Water Res","2019","2019/05/26","PMC6554697","","10.1016/j.watres.2019.04.028"
"24808136","Simultaneous assessment of the macrobiome and microbiome in a bulk sample of tropical arthropods through DNA metasystematics","Gibson J, Shokralla S, Porter TM, King I, van Konynenburg S, Janzen DH, Hallwachs W, Hajibabaei M.","Proc Natl Acad Sci U S A. 2014 Jun 3;111(22):8007-12. doi: 10.1073/pnas.1406468111. Epub 2014 May 7.","Gibson J","Proc Natl Acad Sci U S A","2014","2014/05/09","PMC4050544","","10.1073/pnas.1406468111"
"31909230","Differentiation of Blastocystis and parasitic archamoebids encountered in untreated wastewater samples by amplicon-based next-generation sequencing","Stensvold CR, Lebbad M, Hansen A, Beser J, Belkessa S, O'Brien Andersen L, Clark CG.","Parasite Epidemiol Control. 2019 Dec 21;9:e00131. doi: 10.1016/j.parepi.2019.e00131. eCollection 2020 May.","Stensvold CR","Parasite Epidemiol Control","2019","2020/01/08","PMC6940715","","10.1016/j.parepi.2019.e00131"
"30420511","A long-term survey unveils strong seasonal patterns in the airborne microbiome coupled to general and regional atmospheric circulations","Cáliz J, Triadó-Margarit X, Camarero L, Casamayor EO.","Proc Natl Acad Sci U S A. 2018 Nov 27;115(48):12229-12234. doi: 10.1073/pnas.1812826115. Epub 2018 Nov 12.","Cáliz J","Proc Natl Acad Sci U S A","2018","2018/11/14","PMC6275539","","10.1073/pnas.1812826115"
"30223888","Restriction enzyme digestion of host DNA enhances universal detection of parasitic pathogens in blood via targeted amplicon deep sequencing","Flaherty BR, Talundzic E, Barratt J, Kines KJ, Olsen C, Lane M, Sheth M, Bradbury RS.","Microbiome. 2018 Sep 17;6(1):164. doi: 10.1186/s40168-018-0540-2.","Flaherty BR","Microbiome","2018","2018/09/19","PMC6142370","","10.1186/s40168-018-0540-2"
"31469857","Effects of antibacterial peptides on rumen fermentation function and rumen microorganisms in goats","Ren Z, Yao R, Liu Q, Deng Y, Shen L, Deng H, Zuo Z, Wang Y, Deng J, Cui H, Hu Y, Ma X, Fang J.","PLoS One. 2019 Aug 30;14(8):e0221815. doi: 10.1371/journal.pone.0221815. eCollection 2019.","Ren Z","PLoS One","2019","2019/08/31","PMC6716671","","10.1371/journal.pone.0221815"
"25408892","Characterization and quantification of the fungal microbiome in serial samples from individuals with cystic fibrosis","Willger SD, Grim SL, Dolben EL, Shipunova A, Hampton TH, Morrison HG, Filkins LM, O'Toole GA, Moulton LA, Ashare A, Sogin ML, Hogan DA.","Microbiome. 2014 Nov 3;2:40. doi: 10.1186/2049-2618-2-40. eCollection 2014.","Willger SD","Microbiome","2014","2014/11/20","PMC4236224","","10.1186/2049-2618-2-40"
"31490933","Meta-taxonomic analysis of prokaryotic and eukaryotic gut flora in stool samples from visceral leishmaniasis cases and endemic controls in Bihar State India","Lappan R, Classon C, Kumar S, Singh OP, de Almeida RV, Chakravarty J, Kumari P, Kansal S, Sundar S, Blackwell JM.","PLoS Negl Trop Dis. 2019 Sep 6;13(9):e0007444. doi: 10.1371/journal.pntd.0007444. eCollection 2019 Sep.","Lappan R","PLoS Negl Trop Dis","2019","2019/09/07","PMC6750594","","10.1371/journal.pntd.0007444"
"29915224","Characteristics of the bacterial microbiome in association with common intestinal parasites in irritable bowel syndrome","Krogsgaard LR, Andersen LO', Johannesen TB, Engsbro AL, Stensvold CR, Nielsen HV, Bytzer P.","Clin Transl Gastroenterol. 2018 Jun 19;9(6):161. doi: 10.1038/s41424-018-0027-2.","Krogsgaard LR","Clin Transl Gastroenterol","2018","2018/06/20","PMC6006308","","10.1038/s41424-018-0027-2"
"30551740","Challenging diagnosis of congenital malaria in non-endemic areas","Romani L, Pane S, Severini C, Menegon M, Foglietta G, Bernardi S, Tchidjou HK, Onetti Muda A, Palma P, Putignani L.","Malar J. 2018 Dec 14;17(1):470. doi: 10.1186/s12936-018-2614-9.","Romani L","Malar J","2018","2018/12/16","PMC6295090","","10.1186/s12936-018-2614-9"
"29959246","Overlapping Community Compositions of Gut and Fecal Microbiomes in Lab-Reared and Field-Collected German Cockroaches","Kakumanu ML, Maritz JM, Carlton JM, Schal C.","Appl Environ Microbiol. 2018 Aug 17;84(17):e01037-18. doi: 10.1128/AEM.01037-18. Print 2018 Sep 1.","Kakumanu ML","Appl Environ Microbiol","2018","2018/07/01","PMC6102980","","10.1128/AEM.01037-18"
"30087410","Microbial connectivity and sorting in a High Arctic watershed","Comte J, Culley AI, Lovejoy C, Vincent WF.","ISME J. 2018 Dec;12(12):2988-3000. doi: 10.1038/s41396-018-0236-4. Epub 2018 Aug 7.","Comte J","ISME J","2018","2018/08/09","PMC6246550","","10.1038/s41396-018-0236-4"
"29695286","A microorganisms' journey between plant generations","Vannier N, Mony C, Bittebiere AK, Michon-Coudouel S, Biget M, Vandenkoornhuyse P.","Microbiome. 2018 Apr 26;6(1):79. doi: 10.1186/s40168-018-0459-7.","Vannier N","Microbiome","2018","2018/04/27","PMC5918900","","10.1186/s40168-018-0459-7"
"30056235","Long-term farming systems modulate multi-trophic responses","Lupatini M, Korthals GW, Roesch LFW, Kuramae EE.","Sci Total Environ. 2019 Jan 1;646:480-490. doi: 10.1016/j.scitotenv.2018.07.323. Epub 2018 Jul 24.","Lupatini M","Sci Total Environ","2019","2018/07/30","","","10.1016/j.scitotenv.2018.07.323"
"30564204","Multiple Strategies for Light-Harvesting, Photoprotection, and Carbon Flow in High Latitude Microbial Mats","Vigneron A, Cruaud P, Mohit V, Martineau MJ, Culley AI, Lovejoy C, Vincent WF.","Front Microbiol. 2018 Dec 4;9:2881. doi: 10.3389/fmicb.2018.02881. eCollection 2018.","Vigneron A","Front Microbiol","2018","2018/12/20","PMC6288179","","10.3389/fmicb.2018.02881"
"30508628","Microbial biomarkers of common tongue coatings in patients with gastric cancer","Xu J, Xiang C, Zhang C, Xu B, Wu J, Wang R, Yang Y, Shi L, Zhang J, Zhan Z.","Microb Pathog. 2019 Feb;127:97-105. doi: 10.1016/j.micpath.2018.11.051. Epub 2018 Nov 30.","Xu J","Microb Pathog","2019","2018/12/04","","","10.1016/j.micpath.2018.11.051"
"27545322","Multi-marker metabarcoding of coral skeletons reveals a rich microbiome and diverse evolutionary origins of endolithic algae","Marcelino VR, Verbruggen H.","Sci Rep. 2016 Aug 22;6:31508. doi: 10.1038/srep31508.","Marcelino VR","Sci Rep","2016","2016/08/23","PMC4992875","","10.1038/srep31508"
"30168288","Microbial effects of livestock manure fertilization on freshwater aquaculture ponds rearing tilapia (Oreochromis shiranus) and North African catfish (Clarias gariepinus)","Minich JJ, Zhu Q, Xu ZZ, Amir A, Ngochera M, Simwaka M, Allen EE, Zidana H, Knight R.","Microbiologyopen. 2018 Dec;7(6):e00716. doi: 10.1002/mbo3.716. Epub 2018 Aug 31.","Minich JJ","Microbiologyopen","2018","2018/09/01","PMC6291788","","10.1002/mbo3.716"
"30389965","Combining morpho-taxonomy and metabarcoding enhances the detection of non-indigenous marine pests in biofouling communities","Ammon UV, Wood SA, Laroche O, Zaiko A, Tait L, Lavery S, Inglis GJ, Pochon X.","Sci Rep. 2018 Nov 2;8(1):16290. doi: 10.1038/s41598-018-34541-1.","Ammon UV","Sci Rep","2018","2018/11/04","PMC6215007","","10.1038/s41598-018-34541-1"
"30112146","Microbiota of Palm Oil Mill Wastewater in Malaysia","Bala JD, Lalung J, Al-Gheethi AAS, Hossain K, Ismail N.","Trop Life Sci Res. 2018 Jul;29(2):131-163. doi: 10.21315/tlsr2018.29.2.10. Epub 2018 Jul 6.","Bala JD","Trop Life Sci Res","2018","2018/08/17","PMC6072722","","10.21315/tlsr2018.29.2.10"
"30645630","Oral Candida administration in a Clostridium difficile mouse model worsens disease severity but is attenuated by Bifidobacterium","Panpetch W, Somboonna N, Palasuk M, Hiengrach P, Finkelman M, Tumwasorn S, Leelahavanichkul A.","PLoS One. 2019 Jan 15;14(1):e0210798. doi: 10.1371/journal.pone.0210798. eCollection 2019.","Panpetch W","PLoS One","2019","2019/01/16","PMC6333342","","10.1371/journal.pone.0210798"
"29312218","Differential Ecological Specificity of Protist and Bacterial Microbiomes across a Set of Termite Species","Waidele L, Korb J, Voolstra CR, Künzel S, Dedeine F, Staubach F.","Front Microbiol. 2017 Dec 19;8:2518. doi: 10.3389/fmicb.2017.02518. eCollection 2017.","Waidele L","Front Microbiol","2017","2018/01/10","PMC5742190","","10.3389/fmicb.2017.02518"
"30572961","Design and application of a novel two-amplicon approach for defining eukaryotic microbiota","Popovic A, Bourdon C, Wang PW, Guttman DS, Voskuijl W, Grigg ME, Bandsma RHJ, Parkinson J.","Microbiome. 2018 Dec 20;6(1):228. doi: 10.1186/s40168-018-0612-3.","Popovic A","Microbiome","2018","2018/12/22","PMC6302507","","10.1186/s40168-018-0612-3"
"28670573","The Intestinal Eukaryotic and Bacterial Biome of Spotted Hyenas: The Impact of Social Status and Age on Diversity and Composition","Heitlinger E, Ferreira SCM, Thierer D, Hofer H, East ML.","Front Cell Infect Microbiol. 2017 Jun 16;7:262. doi: 10.3389/fcimb.2017.00262. eCollection 2017.","Heitlinger E","Front Cell Infect Microbiol","2017","2017/07/04","PMC5472691","","10.3389/fcimb.2017.00262"
"28751881","Eelgrass Leaf Surface Microbiomes Are Locally Variable and Highly Correlated with Epibiotic Eukaryotes","Bengtsson MM, Bühler A, Brauer A, Dahlke S, Schubert H, Blindow I.","Front Microbiol. 2017 Jul 13;8:1312. doi: 10.3389/fmicb.2017.01312. eCollection 2017.","Bengtsson MM","Front Microbiol","2017","2017/07/29","PMC5507959","","10.3389/fmicb.2017.01312"
"29045626","Primary and heterotrophic productivity relate to multikingdom diversity in a hypersaline mat","Bernstein HC, Brislawn CJ, Dana K, Flores-Wentz T, Cory AB, Fansler SJ, Fredrickson JK, Moran JJ.","FEMS Microbiol Ecol. 2017 Oct 1;93(10):fix121. doi: 10.1093/femsec/fix121.","Bernstein HC","FEMS Microbiol Ecol","2017","2017/10/19","PMC5812518","","10.1093/femsec/fix121"
"29147973","Co-Variation of Bacterial and Fungal Communities in Different Sorghum Cultivars and Growth Stages is Soil Dependent","Schlemper TR, van Veen JA, Kuramae EE.","Microb Ecol. 2018 Jul;76(1):205-214. doi: 10.1007/s00248-017-1108-6. Epub 2017 Nov 16.","Schlemper TR","Microb Ecol","2018","2017/11/18","PMC6061463","","10.1007/s00248-017-1108-6"
"30984119","Fungal-Bacterial Networks in the Populus Rhizobiome Are Impacted by Soil Properties and Host Genotype","Bonito G, Benucci GMN, Hameed K, Weighill D, Jones P, Chen KH, Jacobson D, Schadt C, Vilgalys R.","Front Microbiol. 2019 Mar 29;10:481. doi: 10.3389/fmicb.2019.00481. eCollection 2019.","Bonito G","Front Microbiol","2019","2019/04/16","PMC6450171","","10.3389/fmicb.2019.00481"
"31507556","Root-Associated Microbial Communities of Abies nordmanniana: Insights Into Interactions of Microbial Communities With Antioxidative Enzymes and Plant Growth","Garcia-Lemos AM, Großkinsky DK, Stokholm MS, Lund OS, Nicolaisen MH, Roitsch TG, Veierskov B, Nybroe O.","Front Microbiol. 2019 Aug 22;10:1937. doi: 10.3389/fmicb.2019.01937. eCollection 2019.","Garcia-Lemos AM","Front Microbiol","2019","2019/09/12","PMC6714061","","10.3389/fmicb.2019.01937"
"31619759","Bacterial, archaeal and micro-eukaryotic communities characterize a disease-suppressive or conducive soil and a cultivar resistant or susceptible to common scab","Kopecky J, Samkova Z, Sarikhani E, Kyselková M, Omelka M, Kristufek V, Divis J, Grundmann GG, Moënne-Loccoz Y, Sagova-Mareckova M.","Sci Rep. 2019 Oct 16;9(1):14883. doi: 10.1038/s41598-019-51570-6.","Kopecky J","Sci Rep","2019","2019/10/18","PMC6796001","","10.1038/s41598-019-51570-6"
"25501481","Prepartum and postpartum rumen fluid microbiomes: characterization and correlation with production traits in dairy cows","Lima FS, Oikonomou G, Lima SF, Bicalho ML, Ganda EK, Filho JC, Lorenzo G, Trojacanec P, Bicalhoa RC.","Appl Environ Microbiol. 2015 Feb;81(4):1327-37. doi: 10.1128/AEM.03138-14.","Lima FS","Appl Environ Microbiol","2015","2014/12/16","PMC4309715","","10.1128/AEM.03138-14"
"31697694","Prokaryotic and eukaryotic microbiomes associated with blooms of the ichthyotoxic dinoflagellate Cochlodinium (Margalefidinium) polykrikoides in New York, USA, estuaries","Hattenrath-Lehmann TK, Jankowiak J, Koch F, Gobler CJ.","PLoS One. 2019 Nov 7;14(11):e0223067. doi: 10.1371/journal.pone.0223067. eCollection 2019.","Hattenrath-Lehmann TK","PLoS One","2019","2019/11/08","PMC6837389","","10.1371/journal.pone.0223067"
"30146540","Molecular Detection of Eukaryotic Diets and Gut Mycobiomes in Two Marine Sediment-Dwelling Worms, Sipunculus nudus and Urechis unicinctus","Wang Y, Shi T, Huang G, Gong J.","Microbes Environ. 2018 Sep 29;33(3):290-300. doi: 10.1264/jsme2.ME18065. Epub 2018 Aug 24.","Wang Y","Microbes Environ","2018","2018/08/28","PMC6167119","","10.1264/jsme2.ME18065"
"30552195","Towards Quantitative Microbiome Community Profiling Using Internal Standards","Lin Y, Gifford S, Ducklow H, Schofield O, Cassar N.","Appl Environ Microbiol. 2019 Feb 20;85(5):e02634-18. doi: 10.1128/AEM.02634-18. Print 2019 Mar 1.","Lin Y","Appl Environ Microbiol","2019","2018/12/16","PMC6384117","","10.1128/AEM.02634-18"
"28198425","Organic nitrogen rearranges both structure and activity of the soil-borne microbial seedbank","Leite MF, Pan Y, Bloem J, Berge HT, Kuramae EE.","Sci Rep. 2017 Feb 15;7:42634. doi: 10.1038/srep42634.","Leite MF","Sci Rep","2017","2017/02/16","PMC5309777","","10.1038/srep42634"
"26787941","Biochemical and molecular identification and characterization of lactic acid bacteria and yeasts isolated from Ethiopian naturally fermented buttermilk","Gebreselassie N, Abay F, Beyene F.","J Food Sci Technol. 2016 Jan;53(1):184-96. doi: 10.1007/s13197-015-2049-z. Epub 2015 Oct 14.","Gebreselassie N","J Food Sci Technol","2016","2016/01/21","PMC4711473","","10.1007/s13197-015-2049-z"
"30416489","Characterization of the Microbiome at the World's Largest Potable Water Reuse Facility","Stamps BW, Leddy MB, Plumlee MH, Hasan NA, Colwell RR, Spear JR.","Front Microbiol. 2018 Oct 26;9:2435. doi: 10.3389/fmicb.2018.02435. eCollection 2018.","Stamps BW","Front Microbiol","2018","2018/11/13","PMC6212505","","10.3389/fmicb.2018.02435"
"31935259","Parasites modulate the gut-microbiome in insects: A proof-of-concept study","Fredensborg BL, Fossdal Í Kálvalíð I, Johannesen TB, Stensvold CR, Nielsen HV, Kapel CMO.","PLoS One. 2020 Jan 14;15(1):e0227561. doi: 10.1371/journal.pone.0227561. eCollection 2020.","Fredensborg BL","PLoS One","2020","2020/01/15","PMC6959588","","10.1371/journal.pone.0227561"
"28253864","Bacterial and fungal core microbiomes associated with small grain silages during ensiling and aerobic spoilage","Duniere L, Xu S, Long J, Elekwachi C, Wang Y, Turkington K, Forster R, McAllister TA.","BMC Microbiol. 2017 Mar 3;17(1):50. doi: 10.1186/s12866-017-0947-0.","Duniere L","BMC Microbiol","2017","2017/03/04","PMC5335695","","10.1186/s12866-017-0947-0"
"31289345","Patterns of protist diversity associated with raw sewage in New York City","Maritz JM, Ten Eyck TA, Elizabeth Alter S, Carlton JM.","ISME J. 2019 Nov;13(11):2750-2763. doi: 10.1038/s41396-019-0467-z. Epub 2019 Jul 9.","Maritz JM","ISME J","2019","2019/07/11","PMC6794324","","10.1038/s41396-019-0467-z"
"30763377","Community ecology across bacteria, archaea and microbial eukaryotes in the sediment and seawater of coastal Puerto Nuevo, Baja California","Ul-Hasan S, Bowers RM, Figueroa-Montiel A, Licea-Navarro AF, Beman JM, Woyke T, Nobile CJ.","PLoS One. 2019 Feb 14;14(2):e0212355. doi: 10.1371/journal.pone.0212355. eCollection 2019.","Ul-Hasan S","PLoS One","2019","2019/02/15","PMC6375613","","10.1371/journal.pone.0212355"
"31565550","Plant host and drought shape the root associated fungal microbiota in rice","Andreo-Jimenez B, Vandenkoornhuyse P, Lê Van A, Heutinck A, Duhamel M, Kadam N, Jagadish K, Ruyter-Spira C, Bouwmeester H.","PeerJ. 2019 Sep 11;7:e7463. doi: 10.7717/peerj.7463. eCollection 2019.","Andreo-Jimenez B","PeerJ","2019","2019/10/01","PMC6744933","","10.7717/peerj.7463"
"31091277","Development of an autonomous biosampler to capture in situ aquatic microbiomes","Ribeiro H, Martins A, Gonçalves M, Guedes M, Tomasino MP, Dias N, Dias A, Mucha AP, Carvalho MF, Almeida CMR, Ramos S, Almeida JM, Silva E, Magalhães C.","PLoS One. 2019 May 15;14(5):e0216882. doi: 10.1371/journal.pone.0216882. eCollection 2019.","Ribeiro H","PLoS One","2019","2019/05/16","PMC6519839","","10.1371/journal.pone.0216882"
